,ID,Latitude,Longitude,date,.geo,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
60,7,11.042,37.839,2017-10-14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.838974606455714,11.041959008132203]}",0.10459583,0.0541375,0.0260125,0.0829,0.0717,0.0513,0.0646875,0.1114375,0.1279875,0.1228,0.13430625,0.039547917
61,7,11.042,37.839,2017-10-24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.838974606455714,11.041959008132203]}",0.118308336,0.20215625,0.10685,0.1088,0.1246,0.1108,0.15443125,0.26405,0.3047,0.3184,0.3439875,0.0841875
62,7,11.042,37.839,2017-10-29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.838974606455714,11.041959008132203]}",0.09395417,0.183925,0.102375,0.0854,0.0951,0.0915,0.13741875,0.21662499,0.25276875,0.2497,0.28364375,0.101870835
63,7,11.042,37.839,2017-11-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.838974606455714,11.041959008132203]}",0.10142292,0.08373125,0.04304375,0.0848,0.0799,0.0694,0.0838625,0.12058125,0.1364,0.1314,0.14455625,0.041472916
64,7,11.042,37.839,2017-11-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.838974606455714,11.041959008132203]}",0.100804165,0.080706246,0.0525875,0.0789,0.0704,0.0593,0.078625,0.11305625,0.122725,0.1047,0.13906875,0.0607625
65,7,11.042,37.839,2017-11-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.838974606455714,11.041959008132203]}",0.09924167,0.22463125,0.140375,0.0976,0.1096,0.1249,0.1503875,0.2103875,0.24191874,0.2538,0.27116874,0.08825625
66,7,11.042,37.839,2017-11-23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.838974606455714,11.041959008132203]}",0.10723334,0.2225125,0.14972499,0.0971,0.0983,0.1181,0.142175,0.18576875,0.2098375,0.2141,0.23423749,0.09675
67,8,11.043,37.804,2017-10-04,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.804004699512376,11.042998376089608]}",0.09897986,0.16950001,0.0901375,0.086,0.0928,0.075,0.112125,0.23421875,0.27136248,0.2673,0.29165626,0.097961806
68,8,11.043,37.804,2017-10-09,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.804004699512376,11.042998376089608]}",0.16094166,0.23735,0.1323,0.1606,0.1658,0.149,0.19175,0.32146248,0.37051874,0.3508,0.40133125,0.10900972
69,8,11.043,37.804,2017-10-14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[37.804004699512376,11.042998376089608]}",0.10142431,0.04159375,0.0200125,0.0788,0.0648,0.0465,0.05589375,0.0925625,0.1021,0.0929,0.1004625,0.030438194
