ID,Latitude,Longitude,VH,VV,date,.geo
319,13.703,39.633,-21.36882043912084,-12.186135792018453,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.63304249063061,13.702965142508244]}"
320,13.716,39.65,-21.40293854247478,-12.30266002734566,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.650001855903234,13.716031613071648]}"
321,13.716,39.657,-21.37220038060359,-14.221987846291182,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.65703048833136,13.716013028094876]}"
322,13.716,39.66,-22.581090558163016,-12.623669590990527,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.659989909375916,13.716005143052671]}"
323,13.762,39.594,-17.39388054429955,-14.224258264289531,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.59398036687965,13.762014299791634]}"
324,13.777,39.605,-19.009928525463152,-11.71425896039938,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.60502658039533,13.776996673935418]}"
325,13.898,39.597,-20.193117081453337,-14.430231190990508,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.59700942969336,13.89799392497158]}"
337,13.754,39.593,-16.93052492885893,-11.09927451549842,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.59303509014641,13.753969425150183]}"
338,13.761,39.583,-23.397586332457003,-15.504940769462014,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.582970038139166,13.760955585744416]}"
339,13.762,39.582,-20.36221175718723,-12.211782373961803,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.581955210603304,13.762042995398714]}"
340,13.786,39.648,-28.361938147750287,-15.31688380176975,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.647974722448055,13.78601941977594]}"
341,13.801,39.662,-21.2679807061636,-11.85444812908537,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.66198595397224,13.80099118879035]}"
342,13.828,39.603,-20.60791967889454,-15.348925410556712,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.603029935836126,13.827996741234504]}"
355,13.425,39.571,-20.60416867890065,-12.268413043362065,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.57097234106416,13.42498690801917]}"
